TABLE_ID,CODIGO,ESCUELA,REGION,DISTRITO,MUNICIPIO_ESCOLAR,DIRECCION_FISICA,DIRECCION_MUNICIPIO,DIRECCION_ESTADO,DIRECCION_ZIPCODE,GEOLOCALIZACION,TELEFONO,FAX,DIRECTOR,ZONA,OPERACIONAL_2018-2019,NIVEL_ORIGINAL,GRADOS_ORIGINAL,GRADOS_POSTERIOR,MATRICULA_TOTAL,GRADO_INFANT,GRADO_TODDLER,GRADO_PK,GRADO_PKE,GRADO_PKM,GRADO_K,GRADO_1,GRADO_2,GRADO_3,GRADO_4,GRADO_5,GRADO_6,GRADO_SGE,GRADO_7,GRADO_8,GRADO_9,GRADO_SGI,GRADO_10,GRADO_11,GRADO_12,GRADO_SGS,ESPAÑOL_[PROFICIENTE+AVANZADO],ESPAÑOL_PRE-BÁSICO,ESPAÑOL_BÁSICO,ESPAÑOL_PROFICIENTE,ESPAÑOL_AVANZADO,MATEMÁTICAS_[PROFICIENTE+AVANZADO],MATEMÁTICAS_PRE-BÁSICO,MATEMÁTICAS_BÁSICO,MATEMÁTICAS_PROFICIENTE,MATEMÁTICAS_AVANZADO,INGLÉS_[PROFICIENTE+AVANZADO],INGLÉS_PRE-BÁSICO,INGLÉS_BÁSICO,INGLÉS_PROFICIENTE,INGLÉS_AVANZADO,BAJO_NIVEL_POBREZA
908,63149,REPUBLICA DEL PERU,SAN JUAN,SAN JUAN I,SAN JUAN I,CALLE LOIZA FINAL,SAN JUAN,PR,00914-6416,"(18.44994, -66.04992)",727-2327,726-1432,CRISTIAN DELGADO,URBANA,SI,INTERMEDIO,"7 - 9 , EEI","7 - 9 , EEI",201,,,,,,,,,,,,35,,45,86,35,,,,,,32.03,31.37,36.6,21.57,10.46,21.57,44.44,33.99,5.88,15.69,26.8,53.59,19.61,9.15,17.65,96.48
909,70243,REXVILLE ELEMENTAL,BAYAMON,BAYAMON,BAYAMON III,URB REXVILLE CALLE 13 ESQ 21,BAYAMON,PR,00957-0000,"(18.37127, -66.19056)",797-5004,279-0533,IRAIDA PABON MAYSONET,URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",411,,,,9,,50,59,47,43,41,51,52,59,,,,,,,,,47.44,15.38,37.18,28.63,18.8,47.01,12.82,40.17,29.06,17.95,35.47,18.8,45.73,21.79,13.68,87.82
910,70268,REXVILLE INTERMEDIA,BAYAMON,BAYAMON,BAYAMON III,URB REXVILLE 41 CALLE BAEZA,BAYAMON,PR,00960-0333,"(18.36933, -66.19293)",730-8411,797-9262,EDNA I LEON,URBANA,NO,INTERMEDIO,"7 - 9 , EEI","7 - 9 , EEI",403,,,,,,,,,,,,69,,160,125,,49,,,,,25.48,27.7,46.81,18.56,6.93,1.65,41.32,57.02,1.1,0.55,24.72,43.33,31.94,17.22,7.5,84.62
911,71084,RICARDO ARROYO LARACUENTE,ARECIBO,VEGA ALTA,DORADO,CALLE PEDRO J CARRIONL #10,DORADO,PR,00646-0000,"(18.46326, -66.26681)",796-1222,278-1702,GLADYS VALENTIN,URBANA,SI,INTERMEDIO,"7 - 9 , EEI","7 - 9 , EEI",392,,,,,,,,,,,,134,,126,111,,21,,,,,25.88,26.32,47.81,16.67,9.21,0.44,41.41,58.15,0.44,0,20.18,51.32,28.51,11.4,8.77,83.67
912,17459,RICARDO RODRIGUEZ TORRES,ARECIBO,MANATI,FLORIDA,CARR 645 KM 12 HM 3 CALLE ANTONIO ALCARZA,FLORIDA,PR,00650-0000,"(18.36411, -66.57161)",822-1005,822-1025,GUILLERMO MIRANDA RIVERA,URBANA,SI,ELEMENTAL,K - 6,K - 5,401,,,17,4,,55,55,55,56,78,76,,5,,,,,,,,,31.4,22.67,45.93,19.77,11.63,27.33,23.26,49.42,16.86,10.47,15.38,36.69,47.93,8.88,6.51,78.59
913,47571,RIO CANAS ABAJO,MAYAGUEZ,MAYAGUEZ,MAYAGUEZ,CARR 351 INT 352 BO RIO CANAS,MAYAGUEZ,PR,00681-0000,"(18.22838, -67.0931)",831-0050,833-3011,ANA I. RUPERTO SOTO,RURAL,SI,SEGUNDA UNIDAD,PK - 9,PK - 9,272,,,10,,,25,15,27,24,28,28,38,,49,28,,,,,,,42.25,12.83,44.92,22.99,19.25,27.96,15.59,56.45,18.28,9.68,17.84,34.05,48.11,11.89,5.95,82.68
914,42424,RIO CANAS ARRIBA,MAYAGUEZ,MAYAGUEZ,MAYAGUEZ,CARR. 354 KM. 3 HM.5 BO. RIO CANAS,MAYAGUEZ,PR,00680-0000,"(18.22724, -67.05932)",832-4620,832-4620,BETANIA FELICIANO CORDERO,RURAL,NO,ELEMENTAL,PK - 6,PK - 6,99,,,16,,,8,15,17,14,14,9,6,,,,,,,,,,19.05,21.43,59.52,9.52,9.52,35.71,21.43,42.86,33.33,2.38,11.9,30.95,57.14,7.14,4.76,83.33
915,64949,ROBERTO CLEMENTE,SAN JUAN,CAROLINA,CAROLINA I,CALLE PERU #5 URB ROLLING HILLS,CAROLINA,PR,00987-0000,"(18.38162, -65.9802)",752-0057,762-5193,ANGELA GARCIA MUNOZ,URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 5, EEE",311,,,,,,53,59,47,48,45,47,,12,,,,,,,,,34.23,18.92,46.85,25.23,9.01,26.36,25.45,48.18,18.18,8.18,22.52,27.93,49.55,13.51,9.01,91.16
916,36327,ROBERTO SILVA MORALES,HUMACAO,LAS PIEDRAS,JUNCOS,CARR 929 INT CARR #9919,JUNCOS,PR,00777-0000,"(18.225, -65.93629)",734-8553,713-1675,LUCY DIAZ CLAUDIO,RURAL,SI,ELEMENTAL,"K - 6 , EEE","K - 5, EEE, PKEE",413,,,16,9,,74,58,65,68,61,50,,12,,,,,,,,,44.59,17.12,38.29,26.58,18.02,34.53,18.83,46.64,19.28,15.25,25.56,27.35,47.09,17.94,7.62,78.3
917,52571,RODULFO DEL VALLE,PONCE,PONCE,PONCE I,AVE TITO CASTRO CARR. 14,PONCE,PR,00731-0000,"(18.02225, -66.60379)",844-1265,844-1265,CARLOS J. MARTINEZ ORTIZ,URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 5, EEE",376,,,,,,52,53,72,42,57,64,,36,,,,,,,,,73.39,6.45,20.16,25.81,47.58,66.94,4.03,29.03,29.03,37.9,50.81,10.48,38.71,38.71,12.1,82.45
918,52860,ROMAN BALDORIOTY DE CASTRO,CAGUAS,GUAYAMA,SALINAS,CALLE MONSERRATE,SALINAS,PR,00751-0000,"(17.97648, -66.29565)",824-2700,824-2700,VACANTE,URBANA,NO,ELEMENTAL,"4 - 6 , EEE","4 - 6 , EEE",233,,,,5,,28,39,40,32,29,35,,25,,,,,,,,,65.38,6.73,27.88,32.69,32.69,66.35,4.81,28.85,29.81,36.54,50.96,15.38,33.65,20.19,30.77,74.09
919,32128,ROSA BERNARD,HUMACAO,CANOVANAS,RIO GRANDE,CARR 958 KM 2 HM 5 BO CIENEGA ABAJO,RIO GRANDE,PR,7452270,"(18.35858, -65.87032)",887-6680,809-3175,LIZ E. VARGAS CARRASQUILLO,RURAL,NO,ELEMENTAL,"K - 6 , EEE","K - 5, EEE",374,,,,,,40,50,54,75,53,77,,25,,,,,,,,,48.36,15.57,36.07,22.13,26.23,43.44,8.2,48.36,19.67,23.77,31.15,22.13,46.72,24.59,6.56,94.44
920,20990,ROSA C BENITEZ,CAGUAS,GURABO,CAGUAS II,URB. VILLA DEL REY CALLE WINDSOR 1RA. SECCION,CAGUAS,PR,7250000,"(18.21357, -66.04422)",743-8446,743-8446,LILLIAN CABRERA SANCHEZ,URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",384,,,,,,68,56,60,60,72,59,,9,,,,,,,,,78.53,2.09,19.37,25.65,52.88,69.63,1.05,29.32,37.17,32.46,58.12,6.28,35.6,30.37,27.75,78.98
921,32532,ROSA COSTA VALDIVIESO,HUMACAO,YABUCOA,YABUCOA,CALLE CRISTOBAL COLON FINAL,YABUCOA,PR,00767-0000,"(18.04398, -65.87623)",893-3390,893-3390,ELIZABETH AMARO CRUZ,URBANA,SI,INTERMEDIO,"7 - 9 , EEI","7 - 9 , EEI",287,,,,,,,,,,,,76,,95,94,,22,,,,,38.21,21.95,39.84,21.95,16.26,3.25,40.24,56.5,2.85,0.41,21.14,42.68,36.18,15.85,5.28,82.17
922,11460,ROSA E MOLINARI,ARECIBO,ARECIBO,HATILLO,CARR 130 KM 1 HATILLO PUEBLO,HATILLO,PR,00659-0000,"(18.47704, -66.81882)",898-4000,898-4000,CARMEN L. SOTO,URBANA,NO,ELEMENTAL,"PK - 6 , EEE","PK - 6 , EEE",154,,,,5,,24,20,27,18,23,18,,19,,,,,,,,,67.42,6.74,25.84,28.09,39.33,79.78,3.37,16.85,29.21,50.56,88.76,7.87,3.37,19.1,69.66,87.86
923,71308,ROSA LUZ ZAYAS,BAYAMON,COROZAL,NARANJITO,CARR 809 KM 2 HM 9 BO CEDRO ARRIBA,NARANJITO,PR,00719-0000,"(18.26084, -66.26208)",869-3976,869-0635,ELSA I.AVILES RIVERA,RURAL,SI,ELEMENTAL,K - 6,K - 6,142,,,,,,31,25,17,20,29,20,,,,,,,,,,,60.29,5.88,33.82,26.47,33.82,61.76,0,38.24,27.94,33.82,30.88,20.59,48.53,11.76,19.12,75.56
924,72033,ROSA M RODRIGUEZ,ARECIBO,VEGA ALTA,VEGA BAJA,"CALLE JUPITER, BDA. SANDIN",VEGA BAJA,PR,00694-0000,"(18.4804, -66.41196)",855-1013,855-5522,JOSE L. SALGADO NATAL,RURAL,NO,ELEMENTAL,K - 6,K - 6,155,,,,,,24,24,29,24,27,21,,6,,,,,,,,,55.17,12.64,32.18,32.18,22.99,43.18,13.64,43.18,19.32,23.86,56.82,18.18,25,36.36,20.45,94.67
925,34769,ROSA PASCUALA PARIS,HUMACAO,FAJARDO,FAJARDO,URB FAJARDO GARDENS CALLE 23,FAJARDO,PR,00738-0000,"(18.34774, -65.66956)",863-8520,863-8520,"RUTH SANDRA RAMIREZ SOTO PH,D",URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",254,,,,,,26,45,41,44,47,41,,10,,,,,,,,,75,4.17,20.83,22.5,52.5,72.95,0.82,26.23,30.33,42.62,72.73,3.31,23.97,38.02,34.71,84.43
926,32466,ROSA SANCHEZ  VARGAS,HUMACAO,YABUCOA,YABUCOA,BO CALABAZA ABAJO,YABUCOA,PR,00767-0000,"(18.05927, -65.91266)",893-3345,893-3345,CARLOS M. RIVERA MONTANEZ,RURAL,NO,ELEMENTAL,K - 6,K - 6,118,,,,,,13,22,15,23,27,18,,,,,,,,,,,51.85,12.35,35.8,28.4,23.46,51.85,2.47,45.68,38.27,13.58,23.46,22.22,54.32,13.58,9.88,79.28
927,75739,ROSALINA C MARTINEZ,SAN JUAN,GUAYNABO,GUAYNABO,CALLE ROSALINA CARABALLO DE MARTINEZ,CATANO,PR,00963-0000,"(18.433, -66.11865)",783-8385,273-1835,MYRNA L. RIVERO SERRA,URBANA,SI,SECUNDARIO,12-Jul,12-Jul,355,,,,,,,,,,,,45,,60,47,70,5,57,35,36,,24.68,30.38,44.94,14.56,10.13,5.1,29.3,65.61,4.46,0.64,20.51,53.85,25.64,15.38,5.13,29.18
928,31369,ROSENDO MATIENZO CINTRON,HUMACAO,CANOVANAS,LUQUILLO,1 CALLE FERNANDEZ GARCIA,LUQUILLO,PR,7730000,"(18.37597, -65.71441)",889-2180,889-2180,MARANGELI GOMEZ GARCIA,URBANA,NO,ELEMENTAL,"K - 6 , EEE","K - 5, EEE",252,,,,,,40,43,40,34,39,33,,23,,,,,,,,,18.18,27.27,54.55,16.36,1.82,14.55,16.36,69.09,10.91,3.64,9.09,34.55,56.36,9.09,0,94.32
929,41566,ROSENDO MATIENZO CINTRON,MAYAGUEZ,CABO ROJO,LAJAS,CARR 117 KM 5.3 BO LAJAS ARRIBA,LAJAS,PR,00667-0000,"(18.03933, -67.00951)",899-2015,899-3460,MAGNA E COLLADO MARTINEZ,RURAL,SI,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",135,,,,,,16,19,25,18,21,21,,15,,,,,,,,,72.22,2.22,25.56,32.22,40,74.44,1.11,24.44,27.78,46.67,82.22,4.44,13.33,41.11,41.11,88.55
930,70797,ROSENDO MATIENZO CINTRON,BAYAMON,TOA BAJA,CATANO,200 AVE LAS NEREIDAS,CATANO,PR,00963-0000,"(18.44205, -66.12798)",788-1612,275-1690,AMARRELLI ALVARADO SANTIAGO,URBANA,NO,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",289,,,,,,42,40,39,41,54,59,,14,,,,,,,,,59.28,11.98,28.74,25.15,34.13,61.08,3.59,35.33,26.35,34.73,65.87,11.38,22.75,31.14,34.73,91.24
931,78857,RUBEN RODRIGUEZ FIGUEROA,BAYAMON,COROZAL,NARANJITO,CARR #164 BO NUEVO,NARANJITO,PR,7190000,"(18.30806, -66.26339)",(787) 869-9126,869-9128,DR. JACINTO ROBLES FERRER,RURAL,SI,SUPERIOR,"10 - 12 , EES","10 - 12 , EES",765,,,,,,,,,,,,,,,,168,,105,243,240,9,49.78,12.78,37.44,27.75,22.03,9.65,17.54,72.81,8.33,1.32,50.44,17.98,31.58,21.49,28.95,63.44
932,50617,RUFINO HUERTAS,PONCE,SANTA ISABEL,COAMO,CARR 153 SECTOR LAS FLORES BO IDELFONSO,COAMO,PR,00769-0000,"(18.04695, -66.36297)",825-5444,825-5444,NORMA IRIS CARTAGENA BURGOS,RURAL,NO,ELEMENTAL,K - 6,K - 6,188,,,,,,23,31,24,20,38,25,27,,,,,,,,,,71.55,5.17,23.28,34.48,37.07,57.76,1.72,40.52,37.07,20.69,77.59,0.86,21.55,49.14,28.45,67.03
933,33308,RUFINO VIGO,HUMACAO,LAS PIEDRAS,HUMACAO,CALLE DUCHESNE #113,HUMACAO,PR,00792-0000,"(18.15195, -65.82404)",852-3215,285-1930,ROSEMARY LOPEZ PLAZA,URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 5, PKEE, EEE",370,,,,4,,42,66,63,56,58,48,,33,,,,,,,,,20.39,33.01,46.6,9.71,10.68,52.43,10.68,36.89,30.1,22.33,35.92,18.45,45.63,20.39,15.53,92.98
934,27557,RUTH EVELYN CRUZ SANTOS,CAGUAS,CIDRA,CIDRA,CARR 171 Km 1.0 BO. SUD,CIDRA,PR,00739-0000,"(18.16772, -66.16267)",739-3011,739-3740,PEDRO E. RUIZ GONZALEZ,RURAL,SI,SUPERIOR,12-Oct,12-Oct,816,,,,,,,,,,,,,,,,184,,185,229,218,,38.57,15.7,45.74,22.87,15.7,12.11,21.52,66.37,1.35,10.76,34.53,33.63,31.84,18.39,16.14,64.98
935,51656,RUTHERFORD B HAYES,PONCE,SANTA ISABEL,JUANA DIAZ,CALLE COMERCIO CARR 14,JUANA DIAZ,PR,00795-0000,"(18.05122, -66.50303)",837-2336,837-2336,MADELINE BONET ECHEVARRIA,URBANA,SI,ELEMENTAL,"4 - 6 , EEE","4 - 6 , EEE",355,,,,,,,,,,96,114,115,30,,,,,,,,,51.61,11.73,36.66,28.15,23.46,34.6,19.06,46.33,24.63,9.97,36.66,25.51,37.83,24.63,12.02,71.83
936,62174,RVDO FELIX CASTRO RODRIGUEZ,SAN JUAN,CAROLINA,CAROLINA II,CALLE 612 AVE CAMPO RICO FINAL,CAROLINA,PR,9840000,"(18.41931, -65.95964)",752-0225,752-0225,VIVIAN AVILA,URBANA,SI,INTERMEDIO,9-Jul,9-Jul,252,,,,,,,,,,,,,,126,126,,,,,,,49.8,5.58,44.62,26.29,23.51,11.16,15.94,72.91,8.76,2.39,49,23.11,27.89,29.88,19.12,58.73
937,62919,SABANA LLANA,SAN JUAN,SAN JUAN II,SAN JUAN III,"CALLE JUAN PENA REYES, ESQ. DE DIEGO",SAN JUAN,PR,00924-0000,"(18.39787, -66.02642)",767-2438,,NOEMI CUADRADO PASTRANA,URBANA,NO,INTERMEDIO,9-Jul,8-Jun,234,,,,,,,,,,,,141,,36,57,,,,,,,16.13,39.78,44.09,13.98,2.15,0,50,50,0,0,5.49,65.93,28.57,5.49,0,94.44
938,42457,SABANETAS MANI,MAYAGUEZ,MAYAGUEZ,MAYAGUEZ,CALLE CRACOL ESQ. ELENA SEGARRA BO. MANI,MAYAGUEZ,PR,6800000,"(18.24008, -67.17126)",832-5080,265-2744,ANGIE M. FELICIANO MENDEZ,RURAL,NO,ELEMENTAL,K - 6,K - 6,197,,,,,,25,29,25,33,30,25,30,,,,,,,,,,42.48,12.39,45.13,24.78,17.7,44.25,17.7,38.05,23.89,20.35,34.51,24.78,40.71,29.2,5.31,90.71
939,58248,SABINO RIVERA BERRIOS,PONCE,SANTA ISABEL,COAMO,CARR 723 KM 7.4 BARRIO PULGUILLA,COAMO,PR,7690000,"(18.15316, -66.34056)",857-4595,857-4595,VACANTE,RURAL,SI,ELEMENTAL,K - 6,"K - 9, EEE",212,,,,,,23,20,11,29,21,27,24,2,20,20,15,,,,,,78,2,20,32,46,72,0,28,30,42,46,10,44,40,6,79.9
940,60442,SALVADOR BRAU (INTERMEDIA),SAN JUAN,CAROLINA,CAROLINA I,"CARR. 853, K.6. H.0",CAROLINA,PR,00985-0000,"(18.33399, -65.95122)",750-0305,750-0305,FERMARIE PEREZ LOPEZ,RURAL,SI,INTERMEDIO,9-Jul,"6 - 12, EEI, EES",265,,,,,,,,,,,,22,,72,58,62,,38,13,,,40.85,19.01,40.14,24.65,16.2,3.5,28.67,67.83,2.1,1.4,20.98,39.86,39.16,15.38,5.59,89.43
941,28084,SALVADOR BRAU ELEMENTAL,CAGUAS,CIDRA,CAYEY,JARDINES I CALLE 13 FINAL,CAYEY,PR,7360000,"(18.11371, -66.15651)",738-3190,263-6242,LIZZETTE COLON BENITEZ,URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",300,,,,,,46,38,53,57,55,51,,,,,,,,,,,54.69,8.33,36.98,27.6,27.08,57.45,6.91,35.64,35.11,22.34,35.08,16.75,48.17,21.99,13.09,64.56
942,45468,SALVADOR FUENTES,MAYAGUEZ,AGUADILLA,AGUADILLA,"CALLE NORTH EAST,EDIF.611 RAMEY",AGUADILLA,PR,00604-0296,"(18.5025, -67.13191)",890-5600,890-1185,CHARLENE GREENE,RURAL,SI,SUPERIOR,"10 - 12 , EES","10 - 12 , EES",213,,,,,,,,,,,,,,,,,,89,57,48,19,24.56,12.28,63.16,17.54,7.02,3.51,28.07,68.42,1.75,1.75,28.07,15.79,56.14,15.79,12.28,76.92
943,21030,SALVADOR RODRIGUEZ,CAGUAS,GURABO,CAGUAS II,CARR 7754 KM 4 HM 4 BO CANABONCITO ARRIBA,CAGUAS,PR,00726-0000,"(18.20099, -66.08167)",747-6900,747-6900,SARAI B. NUNEZ DIAZ,RURAL,NO,ELEMENTAL,K - 6,K - 6,87,,,,,,8,13,14,12,10,14,16,,,,,,,,,,64.71,0,35.29,35.29,29.41,52.94,5.88,41.18,29.41,23.53,49.02,11.76,39.22,41.18,7.84,79.27
944,62927,SAN AGUSTIN,SAN JUAN,SAN JUAN II,SAN JUAN III,"CALLE 6, EXT. SAN AGUSTIN",SAN JUAN,PR,00924-0000,"(18.39364, -66.037)",765-6946,765-6946,DORELIS REBOLLO OYOLA,URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",286,,,,,,50,50,44,37,48,46,,11,,,,,,,,,47.01,9.7,43.28,26.87,20.15,65.67,2.99,31.34,29.85,35.82,26.87,29.1,44.03,15.67,11.19,75.46
945,64410,SAN MARTIN (ANGELES PASTOR),SAN JUAN,SAN JUAN II,SAN JUAN III,URB SAN MARTIN CALLE LUIS PARDO,SAN JUAN,PR,00929-0730,"(18.39359, -66.00428)",768-3016,762-8045,CARMEN M. TORRES MERCADO,URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",205,,,,,,22,35,38,38,28,34,,10,,,,,,,,,63.77,11.59,24.64,31.88,31.88,40.15,10.95,48.91,29.2,10.95,40.15,22.63,37.23,29.93,10.22,91.37
946,51482,SAN PATRICIO,PONCE,UTUADO,JAYUYA,CARR 139 KM 7 MH 6 BO SAN PATRICIO,JAYUYA,PR,-664,"(18.15741, -66.64385)",259-0112,289-0112,OLGA L. ARROYO GARCIA,RURAL,SI,ELEMENTAL,K - 6,K - 5,150,,,,,,25,27,29,20,28,21,,,,,,,,,,,73.68,0,26.32,36.84,36.84,97.22,0,2.78,11.11,86.11,72.22,2.78,25,16.67,55.56,89.63
947,71878,SAN VICENTE,ARECIBO,VEGA ALTA,VEGA BAJA,URB SAN VICENTE 82 CALLE 10,VEGA BAJA,PR,00693-0000,"(18.45529, -66.38282)",807-6034,807-6034,MARCOS A. DAVILA OTERO,URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",265,,,,,,39,42,48,45,40,48,,3,,,,,,,,,50.89,10.06,39.05,26.04,24.85,44.05,11.31,44.64,27.98,16.07,44.31,13.17,42.51,29.94,14.37,79.67
948,75770,SANTA ROSA III,SAN JUAN,GUAYNABO,GUAYNABO,CARR 833 KM 11 HM 6 BO SANTA ROSA III,GUAYNABO,PR,00970-0000,"(18.37089, -66.13491)",720-2718,720-2718,YANIRA COLBERG,URBANA,SI,ELEMENTAL,"PK - 6 , EEE","PK - 6 , EEE",268,,1,8,,1,58,42,40,34,25,39,,20,,,,,,,,,84.35,0,15.65,22.45,61.9,82.99,0.68,16.33,30.61,52.38,89.73,0.68,9.59,45.21,44.52,72.52
949,57026,SANTA TERESITA,PONCE,PONCE,PONCE I,CALLE 23 URB SANTA TERESITA,PONCE,PR,00731-0000,"(18.03116, -66.60784)",841-4949,841-4950,DRA. MARIA DE L. VELEZ ESCOBALES,URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",222,,,,,,20,40,38,31,36,36,,21,,,,,,,,,75.21,5.98,18.8,31.62,43.59,64.1,5.98,29.91,32.48,31.62,43.59,15.38,41.03,29.06,14.53,91.35
950,30098,SANTIAGO IGLESIAS  PANTIN,HUMACAO,FAJARDO,CEIBA,URB ROSSY VALLEY CALLE FRANCISCO GAUTIER,CEIBA,PR,00735-0000,"(18.26489, -65.64617)",885-3200,885-2924,DOUGLASJ. MELENDEZ CRUZ,URBANA,SI,SUPERIOR,"10 - 12 , EES","10 - 12 , EES",510,,,,,,,,,,,,,,,,163,,124,95,86,42,25,21.88,53.13,16.67,8.33,7.37,25.26,67.37,2.11,5.26,41.05,24.21,34.74,23.16,17.89,79.42
951,62646,SANTIAGO IGLESIAS PANTIN,SAN JUAN,SAN JUAN II,SAN JUAN IV,"CALLE URDIALES, ESQ. FLANDES, SAN JOSE",SAN JUAN,PR,00924-0000,"(18.42162, -66.03485)",767-8721,767-7759,ALBERT CONTRERAS MARTINEZ,URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 8, EEE",332,,,,,,33,29,26,15,25,40,33,29,46,56,,,,,,,30,30,40,14.44,15.56,25.56,13.33,61.11,11.11,14.44,13.64,39.77,46.59,9.09,4.55,95.27
952,63156,SANTIAGO IGLESIAS PANTIN,SAN JUAN,SAN JUAN II,SAN JUAN IV,BO OBRERO CALLE BRASIL FINAL,SAN JUAN,PR,00915-0000,"(18.43491, -66.0587)",726-4062,,MARIA VIZCARRONDO,URBANA,NO,ELEMENTAL,K - 6,K - 6,164,,,,,,24,25,36,36,21,22,,,,,,,,,,,15.31,34.69,50,12.24,3.06,16.33,25.51,58.16,14.29,2.04,18.56,25.77,55.67,17.53,1.03,94.38
953,75788,SANTIAGO IGLESIAS PANTIN,SAN JUAN,GUAYNABO,GUAYNABO,CALLE JOSE A TORRES CINTRON URB SANTIAGO IGLESIAS,SAN JUAN,PR,00921-0000,"(18.38041, -66.10136)",783-1645,783-4385,CARMEN CIVIDANES,URBANA,SI,ELEMENTAL,"PK - 6 , EEE","PK - 6 , EEE",467,,,,,30,56,70,79,61,59,72,,40,,,,,,,,,44.12,13.03,42.86,28.99,15.13,49.37,10.55,40.08,32.07,17.3,27,23.21,49.79,19.41,7.59,83.68
954,53702,SANTIAGO NEGRONI,PONCE,YAUCO,YAUCO,4 AVE BARBOSA,YAUCO,PR,00698-0000,"(18.03154, -66.8483)",856-1830,856-1830,VACANTE,URBANA,SI,ELEMENTAL,K - 6,K - 6,255,,,,,,50,50,44,38,30,43,,,,,,,,,,,67.89,5.5,26.61,31.19,36.7,77.06,1.83,21.1,37.61,39.45,44.95,11.01,44.04,19.27,25.69,61.83
955,34355,SANTIAGO TORRES,HUMACAO,LAS PIEDRAS,LAS PIEDRAS,"BO TEJAS,  SECTOR MONTELLANOS ; CALLE EULOGIO REYES, URB APRIL GARDEN",LAS PIEDRAS,PR,00771-0000,"(18.17193, -65.87413)",733-1454,733-1290,JULIO DIAZ CARABALLO,RURAL,SI,INTERMEDIO,"7 - 9 , EEI","6 - 8, EEI",248,,,,,,,,,,,,105,,57,79,,7,,,,,25.19,39.15,35.66,17.83,7.36,1.16,47.67,51.16,1.16,0,18.75,50.78,30.47,14.06,4.69,83.81
956,44511,SEBASTIAN PABON ALVES (COROZO),MAYAGUEZ,CABO ROJO,CABO ROJO,CARR 301 KM 7 HM 4 SECT COROZO,CABO ROJO,PR,6231322,"(17.98145, -67.18523)",255-2028,254-2525,WALESKA SANTIAGO RODRIGUEZ,RURAL,SI,SEGUNDA UNIDAD,K - 9,K - 9,195,,,,,,16,25,21,25,19,21,18,,30,20,,,,,,,55.73,8.4,35.88,35.88,19.85,35.88,18.32,45.8,16.79,19.08,39.69,16.79,43.51,28.24,11.45,81.38
957,48306,SEGUNDA UNIDAD BO PUERTO REAL,MAYAGUEZ,CABO ROJO,CABO ROJO,CARR PR308 KM 5.3 SECTOR PR,CABO ROJO,PR,6230000,"(18.08519, -67.18775)",851-3500,851-3500,LUIS CORIANO MEDINA,RURAL,SI,SEGUNDA UNIDAD,"PK - 9 , EEE - EEI","K - 9, EEE, PKEE, EEI",494,,,12,,,55,61,52,47,42,66,58,12,47,42,,,,,,,40.44,13.78,45.78,27.11,13.33,21.78,21.33,56.89,16.89,4.89,32,28,40,21.33,10.67,83.26
958,41061,SEGUNDO RUIZ BELVIS,MAYAGUEZ,MAYAGUEZ,HORMIGUEROS,16 CALLE SEGUNDO RUIZ BELVIS,HORMIGUEROS,PR,00660-0010,"(18.13867, -67.12627)",849-2610,849-1820,CARMEN N GREENE,URBANA,SI,SUPERIOR,"10 - 12 , EES","10 - 12 , EES",767,,,,,,,,,,,,,,,,215,,197,185,161,9,59.41,4.12,36.47,35.88,23.53,7.06,18.24,74.71,4.71,2.35,61.18,14.12,24.71,25.88,35.29,57.1
959,42085,SEGUNDO RUIZ BELVIS,MAYAGUEZ,MAYAGUEZ,MAYAGUEZ,AVE GONZALEZ CLEMENTE RES CARMEN,MAYAGUEZ,PR,00681-0000,"(18.19461, -67.15433)",832-5078,832-5078,SOCORRO M CINTRON,URBANA,SI,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",239,,,,,,35,33,27,21,27,33,14,49,,,,,,,,,28.32,19.47,52.21,18.58,9.73,29.2,11.5,59.29,22.12,7.08,23.01,28.32,48.67,19.47,3.54,94.09
960,61770,SEGUNDO RUIZ BELVIS,SAN JUAN,SAN JUAN I,SAN JUAN I,AVE FERNANDEZ JUNCOS PDA 16,SAN JUAN,PR,00915-0000,"(18.45002, -66.07716)",722-4983,722-4983,IVETTE BARBOSA PEREZ,URBANA,NO,ELEMENTAL,"K - 6 , EEE","K - 6 , EEE",165,,,,,,19,35,16,20,19,21,,35,,,,,,,,,28.21,20.51,51.28,17.95,10.26,26.92,7.69,65.38,19.23,7.69,16.67,30.77,52.56,16.67,0,85.63
